Rang;Réseau;Station;Trafic;Correspondance_1;Correspondance_2;Correspondance_3;Correspondance_4;Correspondance_5;Ville;Arrondissement pour Paris
279;Métro;FILLES DU CALVAIRE;1093673;8;;;;;Paris;3
282;Métro;CHEMIN VERT;1018958;8;;;;;Paris;11
286;Métro;PICPUS;931602;6;;;;;Paris;12
287;Métro;TEMPLE;891858;3;;;;;Paris;2
289;Métro;QUAI DE LA RAPEE;798728;5;;;;;Paris;12
299;Métro;DANUBE;400157;7bis;;;;;Paris;19
303;Métro;PRE-SAINT-GERVAIS;282626;7bis;;;;;Paris;19
1;RER;GARE DU NORD-RER;32102825;B;;;;;Paris;10
2;RER;GARE DE LYON-RER;27505309;A;;;;;Paris;12
6;Métro;BIBLIOTHEQUE;11104474;14;;;;;Paris;13
10;Métro;CHATELET;8350794;1;4;7;11;14;Paris;1
17;Métro;GARE D'AUSTERLITZ;6318543;5;10;;;;Paris;13
21;Métro;HAVRE-CAUMARTIN;5894982;3;9;;;;Paris;9
28;Métro;TROCADERO;5284134;6;9;;;;Paris;16
31;Métro;OLYMPIADES;5214595;14;;;;;Paris;13
36;Métro;STALINGRAD;4924583;2;5;7;;;Paris;19
42;Métro;GAMBETTA;4796724;3;3bis;;;;Paris;20
46;Métro;SAINT-PAUL;4295823;1;;;;;Paris;4
47;Métro;CHARLES DE GAULLE-ETOILE;4291663;1;2;6;;;Paris;8
65;Métro;SAINT-MICHEL;3747385;4;;;;;Paris;5
69;Métro;MIROMESNIL;3647255;9;13;;;;Paris;8
75;Métro;CRIMEE;3543952;7;;;;;Paris;19
79;Métro;INVALIDES;3482080;8;13;;;;Paris;7
81;Métro;PERE LACHAISE;3465307;2;3;;;;Paris;20
82;Métro;VOLTAIRE;3454006;9;;;;;Paris;11
93;Métro;PORTE DE VERSAILLES;3268157;12;;;;;Paris;15
130;Métro;DUROC;2645064;10;13;;;;Paris;7
136;Métro;VAUGIRARD;2482886;12;;;;;Paris;15
138;Métro;RUE DE LA POMPE;2449458;9;;;;;Paris;16
139;Métro;MARX DORMOY;2425928;12;;;;;Paris;18
142;Métro;SAINT-GERMAIN DES PRES;2378860;4;;;;;Paris;6
152;Métro;BOUCICAUT;2288055;8;;;;;Paris;15
166;Métro;COURONNES;2151515;2;;;;;Paris;11
177;Métro;PORTE DAUPHINE;2021656;2;;;;;Paris;16
178;Métro;SAINT-MAUR;2004445;3;;;;;Paris;11
193;Métro;PORTE DE LA CHAPELLE;1866281;12;;;;;Paris;18
196;Métro;PLACE MONGE;1837996;7;;;;;Paris;6
197;Métro;RUE DES BOULETS;1832442;9;;;;;Paris;11
201;Métro;JACQUES BONSERGENT;1743989;5;;;;;Paris;10
203;Métro;VOLONTAIRES;1734848;12;;;;;Paris;15
205;Métro;BOURSE;1725043;3;;;;;Paris;2
209;Métro;CORENTIN CARIOU;1697076;7;;;;;Paris;19
210;Métro;LOURMEL;1696432;8;;;;;Paris;15
211;Métro;ROME;1696331;2;;;;;Paris;17
212;Métro;LE PELETIER;1677832;7;;;;;Paris;9
216;Métro;GAITE;1644148;13;;;;;Paris;14
217;Métro;TELEGRAPHE;1636898;11;;;;;Paris;20
225;Métro;SAINT-SULPICE;1571987;4;;;;;Paris;6
227;Métro;LOUIS BLANC;1548029;7;7bis;;;;Paris;10
229;Métro;BROCHANT;1543298;13;;;;;Paris;17
235;Métro;WAGRAM;1508617;3;;;;;Paris;17
244;Métro;JASMIN;1418238;9;;;;;Paris;16
255;Métro;SOLFERINO;1269143;12;;;;;Paris;7
261;Métro;SAINT-FRANCOIS-XAVIER;1213378;13;;;;;Paris;7
265;Métro;QUATRE-SEPTEMBRE;1165004;3;;;;;Paris;2
269;Métro;LIEGE;1143956;13;;;;;Paris;8
274;Métro;MONTGALLET;1108395;8;;;;;Paris;12
281;Métro;AVENUE EMILE ZOLA;1041233;10;;;;;Paris;15
285;Métro;MIRABEAU;1001302;10;;;;;Paris;16
295;Métro;FALGUIERE;650291;12;;;;;Paris;15
297;Métro;CHARDON-LAGACHE;482053;10;;;;;Paris;16
7;Métro;REPUBLIQUE;11079708;3;5;8;9;11;Paris;11
13;Métro;HOTEL DE VILLE;7251729;1;11;;;;Paris;4
40;Métro;PALAIS-ROYAL;4822599;1;7;;;;Paris;1
76;Métro;PLAISANCE;3521753;13;;;;;Paris;14
80;Métro;ODEON;3478491;4;10;;;;Paris;6
86;Métro;CONCORDE;3401219;1;8;12;;;Paris;8
94;Métro;LAUMIERE;3258568;5;;;;;Paris;19
96;Métro;OBERKAMPF;3205110;5;9;;;;Paris;11
100;Métro;ALESIA;3098136;4;;;;;Paris;14
101;Métro;PORTE DE BAGNOLET;3085790;3;;;;;Paris;20
105;Métro;PASTEUR;3026286;6;12;;;;Paris;9
116;Métro;OURCQ;2862337;5;;;;;Paris;19
121;Métro;ECOLE MILITAIRE;2805976;8;;;;;Paris;7
123;Métro;VICTOR HUGO;2801041;2;;;;;Paris;16
126;Métro;PORTE DE LA VILLETTE;2706288;7;;;;;Paris;19
131;Métro;LEDRU-ROLLIN;2570283;8;;;;;Paris;12
137;Métro;ALEXANDRE DUMAS;2476608;2;;;;;Paris;11
141;Métro;SAINT-PLACIDE;2391205;4;;;;;Paris;6
150;Métro;CENSIER-DAUBENTON;2291843;7;;;;;Paris;6
158;Métro;GUY MOQUET;2205313;13;;;;;Paris;17
172;Métro;ARGENTINE;2079212;1;;;;;Paris;17
173;Métro;SIMPLON;2056501;4;;;;;Paris;18
185;Métro;SAINT-AUGUSTIN;1934106;9;;;;;Paris;8
186;Métro;PORTE DOREE;1918182;8;;;;;Paris;12
187;Métro;CHAMPS-ELYSEES-CLEMENCEAU;1909005;1;13;;;;Paris;8
194;Métro;TUILERIES;1859552;1;;;;;Paris;1
198;Métro;LA FOURCHE;1829271;13;;;;;Paris;8
233;Métro;ABBESSES;1513884;12;;;;;Paris;18
241;Métro;MALESHERBES;1427143;3;;;;;Paris;17
257;Métro;CLUNY LA SORBONNE;1261818;10;;;;;Paris;5
259;Métro;RASPAIL;1238357;4;6;;;;Paris;14
260;Métro;BOISSIERE;1224181;6;;;;;Paris;16
263;Métro;MABILLON;1195051;10;;;;;Paris;6
267;Métro;SAINT-SEBASTIEN-FROISSART;1151192;8;;;;;Paris;3
278;Métro;SEGUR;1100151;10;;;;;Paris;15
280;Métro;TRINITE-D'ESTIENNE D'ORVES;1051982;12;;;;;Paris;9
284;Métro;CITE;1004657;4;;;;;Paris;4
290;Métro;VARENNE;782697;13;;;;;Paris;7
291;Métro;SAINT-GEORGES;751555;12;;;;;Paris;9
296;Métro;ASSEMBLEE NATIONALE;611512;12;;;;;Paris;7
302;Métro;BUTTES-CHAUMONT;358301;7bis;;;;;Paris;19
304;Métro;PELLEPORT;229524;3bis;;;;;Paris;20
3;RER;CHATELET-LES HALLES-RER;24100383;A;B;;;;Paris;1
11;RER;CITE UNIVERSITAIRE;5144113;B;;;;;Paris;14
20;RER;NATION-RER;3492188;A;;;;;Paris;12
1;Métro;GARE DU NORD;34503097;4;5;;;;Paris;10
2;Métro;SAINT-LAZARE;33128384;3;9;12;13;14;Paris;8
5;Métro;GARE DE L'EST;15538471;4;5;7;;;Paris;10
11;Métro;BASTILLE;8069243;1;5;8;;;Paris;12
18;Métro;FRANKLIN D. ROOSEVELT;6173830;1;9;;;;Paris;8
20;Métro;NATION;6050797;1;2;6;9;;Paris;12
26;Métro;BARBES-ROCHECHOUART;5390939;2;4;;;;Paris;18
44;Métro;REUILLY-DIDEROT;4580091;1;8;;;;Paris;12
50;Métro;PONT CARDINET;4168538;14;;;;;Paris;17
55;Métro;MARCADET-POISSONNIERS;3982005;4;12;;;;Paris;18
56;Métro;PYRAMIDES;3962698;7;14;;;;Paris;1
63;Métro;GEORGE V;3842260;1;;;;;Paris;8
66;Métro;GRANDS BOULEVARDS;3737316;8;9;;;;Paris;9
67;Métro;CONVENTION;3734750;12;;;;;Paris;15
72;Métro;VILLIERS;3586376;2;3;;;;Paris;17
77;Métro;PIGALLE;3501831;2;12;;;;Paris;18
78;Métro;PORTE DE SAINT-CLOUD;3485946;9;;;;;Paris;16
85;Métro;ANVERS;3420749;2;;;;;Paris;18
90;Métro;BIR-HAKEIM;3362908;6;;;;;Paris;15
98;Métro;PORTE DES LILAS;3105016;3bis;11;;;;Paris;20
117;Métro;JULES JOFFRIN;2854819;12;;;;;Paris;18
129;Métro;CHATEAU D'EAU;2687103;4;;;;;Paris;10
133;Métro;DENFERT-ROCHEREAU;2543959;4;6;;;;Paris;14
140;Métro;ARTS ET METIERS;2403042;3;11;;;;Paris;3
143;Métro;LES GOBELINS;2365942;7;;;;;Paris;13
149;Métro;TERNES;2292256;2;;;;;Paris;17
170;Métro;PORTE DE CHAMPERRET;2101673;3;;;;;Paris;17
171;Métro;PASSY;2080548;6;;;;;Paris;16
175;Métro;PARMENTIER;2037234;3;;;;;Paris;11
179;Métro;MARAICHERS;1994064;9;;;;;Paris;20
190;Métro;JOURDAIN;1881321;11;;;;;Paris;20
191;Métro;LAMARCK-CAULAINCOURT;1875717;12;;;;;Paris;18
199;Métro;RANELAGH;1779206;9;;;;;Paris;16
222;Métro;JAVEL-ANDRE CITROEN;1589561;10;;;;;Paris;15
224;Métro;COURCELLES;1583429;2;;;;;Paris;17
232;Métro;FUNICULAIRE;1528671;2;;;;;Paris;18
234;Métro;MICHEL-ANGE-AUTEUIL;1512050;9;10;;;;Paris;16
236;Métro;PORTE D'ITALIE;1507152;7;;;;;Paris;13
237;Métro;BREGUET-SABIN;1490160;5;;;;;Paris;11
238;Métro;NOTRE-DAME-DES-CHAMPS;1487256;12;;;;;Paris;6
243;Métro;MICHEL-ANGE-MOLITOR;1420552;9;10;;;;Paris;16
245;Métro;SAINT-JACQUES;1407837;6;;;;;Paris;13
246;Métro;MICHEL BIZOT;1403416;8;;;;;Paris;12
247;Métro;LA TOUR-MAUBOURG;1361723;8;;;;;Paris;7
250;Métro;VAVIN;1322588;4;;;;;Paris;14
251;Métro;NATIONALE;1320290;6;;;;;Paris;13
262;Métro;MAISON BLANCHE;1203631;7;;;;;Paris;13
266;Métro;FELIX FAURE;1161978;8;;;;;Paris;15
270;Métro;CHATEAU-LANDON;1140353;7;;;;;Paris;10
272;Métro;SULLY-MORLAND;1124169;7;;;;;Paris;4
275;Métro;EUROPE;1106459;3;;;;;Paris;8
283;Métro;CAMPO-FORMIO;1016150;5;;;;;Paris;13
298;Métro;SAINT-FARGEAU;472258;3bis;;;;;Paris;8
300;Métro;PORTE D'AUTEUIL;375748;10;;;;;Paris;16
8;RER;AUBER;6549601;A;;;;;Paris;9
12;RER;CHARLES DE GAULLE-ETOILE-RER;4945694;A;;;;;Paris;17
15;RER;SAINT-MICHEL-NOTRE-DAME;4376933;B;;;;;Paris;
18;RER;LUXEMBOURG;3624948;B;;;;;Paris;5
26;RER;DENFERT-ROCHEREAU-RER;3011780;B;;;;;Paris;14
